id,nombre,codigo,estrato,id_comuna,created,updated
2169,Los Conquistadores,1119,2,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2170,La Gran Colombia,1120,2,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2171,San Benito,1121,2,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2172,Primavera,1122,2,1010,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2173,Villanueva,1201,2,1011,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2174,Asturias,1202,2,1011,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2175,Eduardo Santos,1203,2,1011,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2176,Alfonso Barberena A.,1204,2,1011,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2177,El Paraiso,1205,3,1011,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2178,Fenalco Kennedy,1206,3,1011,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2179,Nueva Floresta,1207,3,1011,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2180,Julio Rincón,1208,2,1011,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2181,Doce de Octubre,1209,3,1011,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2182,El Rodeo,1210,2,1011,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2183,Sindical,1211,3,1011,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2184,Bello Horizonte,1212,3,1011,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2185,Ulpiano Lloreda,1301,2,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2186,El Vergel,1302,1,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
2187,El Poblado I,1303,2,1012,2023-05-21T13:03:04.887992-05:00,2023-05-21T13:03:04.888298-05:00
